route_id,stop_id,sequence,distance,count
46S,43096,5,1.302,32
46S,43094,6,1.579,32
46S,43088,7,1.748,32
46S,43091,8,1.857,32
46S,42764,9,2.172,32
46S,42762,10,2.428,32
46S,42760,11,2.636,32
46S,42672,12,2.802,32
46S,42670,13,3.154,32
46S,42668,14,3.699,32
46S,42666,15,3.944,32
46S,42665,16,4.235,32
46S,42663,17,4.491,32
46S,42660,18,4.788,32
46S,42657,19,5.074,32
46S,42653,20,5.213,32
46S,42655,21,5.402,32
46S,42652,22,5.689,32
46S,42650,23,5.885,32
46S,42647,24,5.968,32
46S,42646,25,6.174,32
46S,42644,26,6.43,32
46S,42642,27,6.572,32
46S,42640,28,6.782,32
46S,42677,29,7.05,32
46S,46407,30,7.224,32
46S,42675,31,7.343,32
46S,43436,32,7.522,32
46S,46439,33,7.654,32
46S,42673,34,7.777,32
46S,42649,35,8.015,32
46S,41271,36,8.254,32
46S,42823,37,8.407,32
46S,42430,38,9.421,32
46S,42827,39,9.665,32
46S,42848,40,9.78,32
46S,42874,41,10.004,32
46S,42878,42,10.124,32
46S,42883,43,10.484,32
46S,42801,44,10.7,32
46S,42803,45,10.972,32
46S,42804,46,11.154,32
46S,42805,47,11.26,32
46S,42808,48,11.377,32
46S,45034,49,11.484,32
46S,42813,50,11.681,32
46S,42814,51,11.913,32
46S,41423,52,12.135,32
46S,41425,53,12.33,32
46S,41422,54,12.708,32
46S,41420,55,12.882,32
46S,41418,56,13.155,32
46S,42481,57,13.523,32
46S,42514,58,13.693,32
46S,42512,59,13.903,32
46S,42510,60,14.032,32
46S,42491,61,14.259,32
46S,46012,62,14.467,32
46S,46013,63,14.695,32
46S,46014,64,15.065,32
46S,46015,65,15.357,32
61S,41780,1,0.12,26
61S,41778,2,0.485,27
61S,41776,3,0.802,27
61S,41766,4,0.981,27
61S,41764,5,1.121,27
61S,41762,6,1.358,27
61S,41760,7,1.565,27
61S,41475,8,1.783,27
61S,41470,9,1.963,27
61S,42439,10,2.291,27
61S,42437,11,2.448,27
61S,42435,12,2.68,27
61S,42432,13,2.939,27
61S,41680,14,3.087,27
61S,41679,15,3.247,27
61S,41308,16,3.458,27
61S,41310,17,3.604,27
61S,41305,18,3.886,27
61S,41307,19,4.081,27
61S,41631,20,4.388,27
61S,41633,21,4.748,27
61S,41684,22,4.923,27
61S,41686,23,5.191,27
61S,41671,24,5.404,27
61S,41673,25,5.736,27
61S,41675,26,6.002,27
61S,41677,27,6.174,27
61S,46649,28,6.559,27
61S,43389,29,6.814,26
61S,41451,30,6.985,27
61S,41449,31,7.193,27
61S,41447,32,7.546,27
61S,46505,33,8.019,27
61S,41607,34,8.345,27
61S,45026,35,8.726,27
61S,46534,36,8.892,27
61S,41604,37,9.103,27
61S,43984,38,9.418,27
61S,41295,39,9.565,27
61S,41771,40,10.414,27
61S,43404,41,10.603,27
61S,41769,42,10.847,27
61S,41511,43,11.032,27
61S,43296,44,11.387,27
61S,46470,45,11.648,27
61S,44161,46,12.167,27
61S,43385,47,12.407,27
61S,43386,48,12.601,27
61S,46531,49,12.793,27
61S,43979,50,13.026,27
61S,43387,51,13.243,27
61S,46422,52,13.552,27
61S,42832,53,14.249,27
61S,41958,54,14.532,27
61S,41937,55,14.828,27
61S,43147,56,15.177,27
61S,43148,57,15.375,27
55S,43084,1,0.316,27
55S,43082,2,0.562,27
55S,46121,3,0.948,27
55S,46122,4,1.323,27
55S,46123,5,1.613,27
55S,46340,6,1.867,27
55S,46124,7,2.187,27
55S,46125,8,2.434,27
55S,46126,9,2.605,27
55S,46650,10,2.992,27
55S,46127,11,3.239,27
55S,46128,12,3.694,27
55S,46129,13,4.152,27
55S,41483,14,4.461,27
55S,41480,15,5.245,27
55S,41478,16,5.547,27
55S,41475,17,5.751,27
55S,41752,18,5.987,27
55S,41750,19,6.274,27
55S,41748,20,6.451,27
55S,41753,21,6.592,27
55S,41567,22,6.84,27
55S,41565,23,7.113,27
55S,41563,24,7.314,27
55S,41561,25,7.46,27
55S,41559,26,7.619,27
55S,41571,27,7.773,27
55S,41569,28,7.947,27
55S,41575,29,8.35,27
55S,41447,30,8.605,27
55S,46505,31,9.078,27
55S,41445,32,9.296,27
55S,46592,33,9.414,27
55S,41443,34,9.605,27
55S,41440,35,10.394,27
55S,41315,36,10.632,27
55S,41317,37,10.83,27
55S,41319,38,11.016,27
55S,41968,39,11.459,26
55S,41970,40,11.685,26
55S,41972,41,11.855,26
55S,41974,42,12.057,26
55S,41618,43,12.342,26
55S,42145,44,12.519,26
55S,42144,45,12.772,26
55S,42142,46,12.846,26
55S,42147,47,13.166,26
55S,42149,48,13.273,27
55S,41434,49,13.469,27
55S,41432,50,13.699,27
55S,41429,51,13.897,27
55S,42815,52,14.335,27
55S,42816,53,14.629,27
55S,42818,54,14.761,27
55S,46633,55,15.02,27
55S,41290,56,15.189,27
55S,41288,57,15.595,27
55S,41286,58,15.838,27
55S,41284,59,16.109,27
55S,41302,60,16.425,27
55S,41300,61,16.638,27
55S,41298,62,16.8,27
55S,41293,63,17.172,27
55S,41442,64,17.428,27
55S,41419,65,17.804,27
55S,41894,66,18.576,27
55S,41534,67,19.5,27
55S,41668,68,20.025,27
55S,43410,69,21.5,27
55S,46617,70,22.715,27
26E,41197,1,0.278,70
26E,42703,2,0.564,76
26E,43224,3,0.832,76
26E,43222,4,0.994,76
26E,43220,5,1.249,76
26E,43218,6,1.408,76
26E,41788,7,1.644,76
26E,41783,8,1.865,76
26E,41786,9,2.057,76
26E,41193,10,2.318,76
26E,41189,11,2.435,76
26E,41187,12,2.651,76
26E,41185,13,3.021,76
26E,41183,14,3.183,76
26E,46533,15,3.259,76
26E,41181,16,3.447,76
26E,43259,17,3.537,76
26E,41178,18,3.822,76
26E,41176,19,4.164,76
26E,41174,20,4.294,76
26E,43022,21,4.437,76
26E,43037,22,4.602,76
26E,43050,23,4.823,76
26E,46011,24,5.014,76
26E,43043,25,5.155,76
26E,43064,26,5.415,76
26E,43066,27,5.66,76
26E,43068,28,5.915,76
26E,43018,29,6.101,76
26E,43021,30,6.271,76
26E,43430,31,6.551,76
26E,43431,32,6.837,76
26E,43432,33,7.046,76
26E,43433,34,7.392,76
26E,43434,35,7.856,76
26E,46648,36,8.459,76
26E,42509,37,8.574,76
26E,42507,38,8.805,76
26E,42505,39,9.005,76
26E,42503,40,9.315,76
26E,42500,41,9.534,76
26E,42498,42,9.78,76
26E,42496,43,9.936,76
26E,42494,44,10.207,76
26E,42492,45,10.387,76
26E,42489,46,10.465,76
26E,42487,47,10.748,76
26E,42485,48,10.893,76
26E,42483,49,11.051,76
26E,42481,50,11.213,76
26E,42514,51,11.384,76
26E,42512,52,11.593,76
26E,42510,53,11.722,76
26E,42491,54,11.949,76
26E,46012,55,12.157,76
26E,46013,56,12.385,76
26E,46014,57,12.756,76
26E,46015,58,13.048,76
76E,41590,1,0.374,38
76E,41595,2,0.586,38
76E,41597,3,0.843,39
76E,41599,4,1.035,39
76E,41580,5,1.277,39
76E,41582,6,1.468,39
76E,41586,7,1.806,39
76E,41588,8,1.989,39
76E,41591,9,2.211,39
76E,45004,10,2.348,39
76E,45005,11,2.68,39
76E,46638,12,3.072,39
76E,42920,13,3.358,39
76E,42940,14,3.554,39
76E,42964,15,3.873,39
76E,42987,16,4.032,39
76E,42885,17,4.223,39
76E,42908,18,4.485,39
76E,42914,19,4.703,39
76E,42916,20,5.014,39
76E,42918,21,5.226,39
76E,42921,22,5.348,39
76E,42923,23,5.548,39
76E,42925,24,5.691,39
76E,42927,25,5.829,39
76E,42929,26,5.984,39
76E,42932,27,6.224,39
76E,42934,28,6.334,39
76E,42936,29,6.57,39
76E,46605,30,6.665,39
76E,42938,31,6.884,39
76E,42941,32,7.082,39
76E,42943,33,7.268,39
76E,42945,34,7.444,39
76E,42947,35,7.766,39
76E,45036,36,8.029,39
76E,46323,37,8.273,39
76E,41046,38,8.577,39
76E,43101,39,8.786,39
76E,43103,40,8.968,39
76E,43105,41,9.12,39
76E,41049,42,9.398,39
76E,41050,43,9.715,39
76E,42958,44,10.112,39
76E,42960,45,10.495,39
76E,43982,46,10.698,39
76E,42962,47,10.952,39
76E,42965,48,11.121,39
76E,42967,49,11.502,39
76E,42969,50,11.709,39
76E,42433,51,11.907,39
76E,42431,52,12.16,39
76E,42434,53,12.387,39
76E,42436,54,12.52,39
76E,41466,55,12.717,39
76E,41469,56,13.017,39
76E,41465,57,13.185,39
76E,41500,58,13.427,39
76E,41498,59,13.916,39
76E,41493,60,14.106,39
76E,41477,61,14.406,39
76E,46264,62,14.595,39
76E,46414,63,14.807,39
76E,46265,64,14.938,39
76E,46266,65,15.595,39
76E,41494,66,16.135,39
76E,45037,67,16.553,39
76E,45038,68,16.886,39
76E,46074,69,17.189,39
76E,41959,70,17.613,39
76E,41961,71,17.965,39
76E,41954,72,18.144,39
76E,41955,73,18.399,39
76E,41949,74,18.633,39
76E,41947,75,19.2,39
76E,41944,76,19.301,39
76E,41960,77,19.571,39
76E,46355,78,19.725,39
76E,41964,79,20.092,40
76E,41966,80,20.326,40
76E,41941,81,20.622,40
76E,41958,82,21.021,40
76E,41937,83,21.317,40
76E,43147,84,21.666,40
76E,43148,85,21.865,40
33S,41342,1,0.403,25
33S,41360,2,0.579,25
33S,41380,3,0.863,24
33S,46035,4,1.301,25
33S,46036,5,1.624,25
33S,46037,6,1.848,25
33S,46038,7,2.025,25
33S,46039,8,2.197,25
33S,46040,9,2.43,25
33S,46041,10,2.703,25
33S,46321,11,2.954,25
33S,46042,12,3.115,25
33S,46043,13,3.598,25
33S,46044,14,3.943,25
33S,46045,15,4.171,25
33S,46046,16,4.409,25
33S,46047,17,4.732,25
33S,46048,18,4.948,25
33S,46049,19,5.16,25
33S,46050,20,5.265,25
33S,46051,21,5.437,25
33S,46052,22,5.668,25
33S,46053,23,5.834,25
33S,46054,24,6.048,25
33S,46055,25,6.355,25
33S,46056,26,6.593,25
33S,46057,27,6.865,25
33S,41004,28,7.117,25
33S,43188,29,7.287,25
33S,43190,30,7.655,25
33S,41152,31,7.913,25
33S,41150,32,8.04,25
33S,41148,33,8.188,25
33S,43155,34,8.334,25
33S,41042,35,8.519,25
33S,41040,36,8.78,24
33S,41043,37,8.95,25
33S,41331,38,9.306,25
33S,42750,39,9.504,25
33S,42758,40,9.768,25
33S,42756,41,10.031,25
33S,42754,42,10.261,25
33S,46626,43,10.45,25
33S,46608,44,10.62,25
33S,46609,45,10.748,25
33S,46610,46,11.016,25
33S,41222,47,11.314,25
24E,43429,1,0.168,36
24E,43021,2,0.373,37
24E,43024,3,0.566,37
24E,43026,4,0.768,37
24E,43029,5,1.129,37
24E,43031,6,1.39,37
24E,43032,7,1.665,37
24E,45045,8,1.918,37
24E,43036,9,2.118,37
24E,43039,10,2.866,37
24E,43041,11,3.172,37
24E,43044,12,3.416,37
24E,43046,13,3.573,37
24E,43049,14,3.736,37
24E,43052,15,3.968,37
24E,43054,16,4.247,37
24E,46007,17,4.351,37
24E,46008,18,4.525,37
24E,43057,19,4.843,37
24E,43059,20,5.088,37
24E,43061,21,5.33,37
24E,43063,22,5.553,37
24E,41409,23,5.881,37
24E,41462,24,6.163,37
24E,41262,25,6.373,37
24E,41259,26,6.493,37
24E,41258,27,6.684,37
24E,41256,28,6.779,37
24E,41254,29,7.059,37
24E,41252,30,7.241,37
24E,41250,31,7.41,37
24E,43416,32,7.585,37
24E,41248,33,7.715,37
24E,41246,34,7.982,37
24E,41244,35,8.144,37
24E,41242,36,8.271,37
24E,41239,37,8.436,37
24E,41237,38,8.569,37
24E,41235,39,8.804,37
24E,41233,40,9.038,37
24E,41231,41,9.459,37
24E,41228,42,9.749,37
24E,41226,43,10.048,37
24E,41224,44,10.304,37
24E,41222,45,10.561,37
50O,42797,1,0.286,32
50O,41616,2,0.523,32
50O,41611,3,0.672,33
50O,41613,4,0.877,33
50O,41615,5,1.121,33
50O,41102,6,1.337,33
50O,41281,7,1.639,33
50O,41279,8,1.968,33
50O,42880,9,2.104,33
50O,42877,10,2.323,33
50O,46114,11,2.655,33
50O,46115,12,3.042,33
50O,46116,13,3.427,33
50O,46117,14,3.672,33
50O,42872,15,4.293,33
50O,42870,16,4.451,33
50O,42868,17,4.852,33
50O,45032,18,5.388,33
50O,42866,19,5.838,33
50O,42864,20,6.328,33
50O,42860,21,6.619,33
50O,42859,22,7.022,33
50O,42855,23,7.225,33
50O,42853,24,7.655,33
50O,42851,25,7.862,33
50O,42849,26,8.147,33
50O,42845,27,8.569,33
50O,42843,28,8.743,33
50O,42840,29,8.939,33
50O,42841,30,9.116,33
50O,45042,31,9.311,33
50O,43248,32,9.674,33
50O,43900,33,9.829,33
50O,43372,34,10.132,33
50O,46304,35,10.342,33
50O,46509,36,10.668,33
50O,48150,37,10.876,33
50O,43343,38,11.574,32
50O,43146,39,11.785,32
50O,41957,40,12.122,33
50O,41952,41,12.415,33
50O,41942,42,12.804,33
50O,41965,43,13.248,33
40E,46648,1,0.152,32
40E,41312,2,0.346,36
40E,43127,3,0.596,45
40E,43150,4,0.787,43
40E,43157,5,1.054,46
40E,43159,6,1.234,46
40E,43108,7,1.363,46
40E,43110,8,1.555,46
40E,43112,9,1.743,46
40E,43114,10,1.971,46
40E,43116,11,2.243,46
40E,43118,12,2.468,46
40E,43120,13,2.589,46
40E,43122,14,2.848,46
40E,43124,15,3.079,46
40E,43126,16,3.243,46
40E,43129,17,3.397,46
40E,43131,18,3.487,46
40E,43133,19,3.747,46
40E,43135,20,3.889,46
40E,43137,21,4.094,46
40E,43140,22,4.359,46
40E,43142,23,4.735,46
40E,43144,24,5.446,46
40E,43147,25,5.767,46
40E,43148,26,5.965,46
17S,41893,1,0.54,36
17S,41891,2,0.762,36
17S,41890,3,0.97,36
17S,41888,4,1.109,36
17S,46437,5,1.303,35
17S,41885,6,1.489,36
17S,41883,7,1.759,36
